,,0
16,14,0.8886138000000001
16,15,0.83160627
17,0,0.80680037
17,1,0.7023661
17,2,0.45544162
17,3,0.8052484999999999
17,4,0.76562893
17,5,0.7458779999999999
17,6,0.66154754
17,7,0.9175464
17,8,0.9455041
17,9,0.75822586
17,10,0.77297944
17,11,0.7155923000000001
17,12,0.7134703
17,13,0.9348247
17,14,0.89835095
17,15,0.81758106
18,0,0.55561364
18,1,0.3639405
18,2,0.30677816
18,3,0.41092426
18,4,0.27936238
18,5,0.592264
18,6,0.32118259999999993
18,7,0.5071572
18,8,0.54388046
18,9,0.109116346
18,10,0.21364851
18,11,0.19348824
18,12,0.27552274
18,13,0.53065675
18,14,0.643099
18,15,0.5284403
19,0,0.78000146
19,1,0.6675406999999999
19,2,0.42709672
19,3,0.70275855
19,4,0.51338464
19,5,0.650566
19,6,0.5231267
19,7,0.8243991
19,8,0.8193174999999999
19,9,0.379958
19,10,0.6262276
19,11,0.56922984
19,12,0.49840724
19,13,0.8090701
19,14,0.8844690999999999
19,15,0.71468914
20,0,0.7638368000000001
20,1,0.66097665
20,2,0.45957044
20,3,0.77898294
20,4,0.7878694
20,5,0.8097073
20,6,0.5831645000000001
20,7,0.86509544
20,8,0.8907575000000001
20,9,0.7198151999999999
20,10,0.6438727
20,11,0.7210869000000001
20,12,0.65651035
20,13,0.87100476
20,14,0.81995976
20,15,0.76705956
21,0,0.8056591
21,1,0.71252906
21,2,0.4810933
21,3,0.787987
21,4,0.77146786
21,5,0.8126647
21,6,0.71411985
21,7,0.8900065999999999
21,8,0.93463504
21,9,0.70685345
21,10,0.7560839
21,11,0.7653488
21,12,0.731647
21,13,0.8974572000000001
21,14,0.88913774
21,15,0.7947404
22,0,0.5556758
22,1,0.37812257
22,2,0.2536192
22,3,0.53311145
22,4,0.34424509999999997
22,5,0.6198198
22,6,0.18106087
22,7,0.5640799
22,8,0.5847826
22,9,0.37397277
22,10,0.23779279
22,11,0.22096390000000002
22,12,0.29423782
22,13,0.57124746
22,14,0.68381643
22,15,0.5516723000000001
23,0,0.81284446
23,1,0.66486275
23,2,0.4734108
23,3,0.7690256
23,4,0.8143486999999999
23,5,0.8380540000000001
23,6,0.6036916999999999
23,7,0.9055908000000001
23,8,0.9240315
23,9,0.7363321999999999
23,10,0.7218796
23,11,0.7395024
23,12,0.69056857
23,13,0.9158062
23,14,0.8406974
23,15,0.8028558000000001
24,0,0.8044935000000001
24,1,0.5978338000000001
24,2,0.4354156
24,3,0.69237685
24,4,0.6917227
24,5,0.72290516
24,6,0.6861326999999999
24,7,0.8175896
24,8,0.8945313
24,9,0.7067137
24,10,0.69871294
24,11,0.65168214
24,12,0.66635865
24,13,0.86747485
24,14,0.84894276
24,15,0.7459455
25,0,0.6348041999999999
25,1,0.38777792
25,2,0.24399261
25,3,0.524041
25,4,0.46435875
25,5,0.53803915
25,6,0.22966726
25,7,0.62880725
25,8,0.61660767
25,9,0.6112928000000001
25,10,0.47701582
25,11,0.34344253
25,12,0.3402422
25,13,0.6439931999999999
25,14,0.66052365
25,15,0.52710897
26,0,0.72911483
26,1,0.5538751000000001
26,2,0.39291254
26,3,0.5557353
26,4,0.656087
26,5,0.7433408
26,6,0.47814378
26,7,0.7467848000000001
26,8,0.73912466
26,9,0.40426368
26,10,0.53688705
26,11,0.5447510999999999
26,12,0.53847957
26,13,0.73548377
26,14,0.6658063
26,15,0.65435684
27,0,0.74552447
27,1,0.61657894
27,2,0.36597383
27,3,0.732059
27,4,0.5870349
27,5,0.6818936
27,6,0.43067184
27,7,0.8058449000000001
27,8,0.8364418
27,9,0.69701725
27,10,0.6902404999999999
27,11,0.6353621
27,12,0.5599508000000001
27,13,0.79266375
27,14,0.84042656
27,15,0.6745829000000001
28,0,0.7637685000000001
28,1,0.655292
28,2,0.4031494
28,3,0.6230854
28,4,0.68930703
28,5,0.81372595
28,6,0.51312476
28,7,0.82837516
28,8,0.8013584
28,9,0.42213044
28,10,0.5928321
28,11,0.48780796
28,12,0.5963799
28,13,0.80514914
28,14,0.77325696
28,15,0.76072097
29,0,0.8407485
29,1,0.69262
29,2,0.5256746999999999
29,3,0.7213979
29,4,0.76492375
29,5,0.88828886
29,6,0.55834585
29,7,0.91350925
29,8,0.8423646
29,9,0.41749543
29,10,0.5924076
29,11,0.6833185
29,12,0.59885824
29,13,0.8887058000000001
29,14,0.81721514
29,15,0.79720205
30,0,0.74689335
30,1,0.4941452
30,2,0.34691736
30,3,0.5733748000000001
30,4,0.51019675
30,5,0.72188187
30,6,0.38645798
30,7,0.7045365
30,8,0.74520665
30,9,0.43198493
30,10,0.40950394
30,11,0.38588753
30,12,0.41248766
30,13,0.7245541
30,14,0.77915645
30,15,0.65633243
31,0,0.6783156
31,1,0.6440640000000001
31,2,0.36965153
31,3,0.7414025
31,4,0.7253743
31,5,0.58551186
31,6,0.5294426
31,7,0.79984754
31,8,0.8337985000000001
31,9,0.75760525
31,10,0.6588885999999999
31,11,0.6998938
31,12,0.59686846
31,13,0.8004667
31,14,0.7423075
31,15,0.6674914000000001
32,0,0.8763481
32,1,0.7942739999999999
32,2,0.51822233
32,3,0.85395956
32,4,0.8316916
32,5,0.8306044
32,6,0.7727717
32,7,0.9885218000000001
32,8,1.009132
32,9,0.73644525
32,10,0.8391735
32,11,0.8117991999999999
32,12,0.7786184
32,13,0.9957264000000001
32,14,0.9581659
32,15,0.8750264000000001
33,0,0.90991294
33,1,0.6918238
33,2,0.5358375
33,3,0.7935661
33,4,0.8294738000000001
33,5,0.8701247
33,6,0.726635
33,7,0.95687944
33,8,0.9786572
33,9,0.72704446
33,10,0.79423076
33,11,0.7966036999999999
33,12,0.7121907
33,13,0.9902055000000001
33,14,0.91988254
33,15,0.8465971999999999
34,0,0.67272794
34,1,0.4803394
34,2,0.34794316
34,3,0.61941475
34,4,0.5638031
34,5,0.7126804
34,6,0.31330058
34,7,0.69513464
34,8,0.7224162
34,9,0.47298396
34,10,0.34546414
34,11,0.37331265
34,12,0.38828796
34,13,0.7104008
34,14,0.733766
34,15,0.6539073000000001
35,0,0.6457501
35,1,0.42694068
35,2,0.3646586
35,3,0.5691414
