,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.45436722,0.37465402,0.4442682,0.47807017,0.34360468,0.47003442,0.42298537,0.27042493,0.35521534,0.37195277,0.25080678,0.36623836,0.3279134,0.45689523,0.35256514,0.4623273
1,0.45446086,0.3747312,0.44435963,0.47816855,0.3436754,0.47013128,0.42307255,0.27048057,0.35528848,0.3720294,0.25085846,0.36631367,0.32798088,0.4569894,0.35263783,0.46242243
2,0.45470348,0.37493116,0.44459692,0.47842386,0.3438589,0.47038224,0.42329836,0.270625,0.3554781,0.3722279,0.2509924,0.36650935,0.32815588,0.45723325,0.35282603,0.46266943
3,0.45766103,0.37736997,0.4474888,0.4815358,0.34609562,0.4734419,0.42605174,0.27238527,0.35779038,0.3746492,0.25262496,0.36889338,0.33029044,0.46020737,0.35512096,0.46567887
4,0.76492125,0.63072515,0.7479198,0.8048249,0.578454,0.79129696,0.7120904,0.45525682,0.5980004,0.6261778,0.4222299,0.6165576,0.55203784,0.76917714,0.59353876,0.778322
5,0.4554863,0.37557676,0.4453625,0.47924757,0.34445104,0.4711921,0.4240273,0.27109095,0.35609022,0.37286898,0.25142455,0.36714047,0.32872093,0.4580206,0.35343355,0.46346596
6,0.6973764,0.5750301,0.68187624,0.7337562,0.5273748,0.7214229,0.64921063,0.4150562,0.5451951,0.5708844,0.38494578,0.5621136,0.50329125,0.7012562,0.5411277,0.70959383
7,0.4545218,0.37478155,0.4444194,0.47823277,0.34372166,0.47019443,0.42312935,0.27051693,0.35533625,0.37207943,0.25089213,0.36636302,0.32802495,0.45705068,0.35268512,0.4624846
8,0.70730513,0.583217,0.6915841,0.74420285,0.53488314,0.73169416,0.6584535,0.42096543,0.5529571,0.5790121,0.39042625,0.5701166,0.5104566,0.71124035,0.54883164,0.7196963
9,0.6717318,0.5538846,0.6568015,0.706774,0.5079817,0.6948942,0.62533736,0.39979336,0.5251466,0.5498911,0.37079018,0.5414431,0.48478365,0.6754692,0.52122873,0.6834998
10,0.45463017,0.3748708,0.4445254,0.47834688,0.3438035,0.4703065,0.4232301,0.27058136,0.35542077,0.37216794,0.25095198,0.36645037,0.3281031,0.45715964,0.35276917,0.4625949
11,0.55501306,0.45764282,0.5426771,0.5839663,0.41971582,0.5741507,0.5166799,0.33032602,0.43389824,0.4543433,0.30636242,0.44736302,0.40054858,0.55810094,0.4306611,0.5647363
12,0.6905272,0.56938237,0.67517906,0.72654957,0.5221951,0.7143375,0.6428344,0.41097966,0.53984034,0.56527734,0.38116497,0.5565928,0.4983479,0.6943691,0.5358129,0.7026245
13,0.5101458,0.42064673,0.49880686,0.5367583,0.3857859,0.5277362,0.4749112,0.30362242,0.3988217,0.41761404,0.281596,0.4111981,0.36816812,0.5129839,0.39584628,0.51908296
14,0.50885594,0.41958326,0.49754593,0.5354013,0.38481054,0.52640206,0.47371083,0.30285487,0.3978136,0.41655824,0.2808841,0.41015846,0.36723727,0.51168716,0.39484555,0.5177706
15,0.7454835,0.6146974,0.7289139,0.78437287,0.5637546,0.7711889,0.693995,0.443688,0.5828042,0.61026555,0.41150048,0.60088986,0.5380096,0.7496311,0.57845616,0.7585436
16,0.5089623,0.419671,0.49764982,0.5355132,0.384891,0.5265121,0.47380975,0.3029182,0.39789668,0.4166453,0.28094277,0.4102443,0.36731416,0.51179403,0.39492807,0.51787865
